Country,Month of Date,YEAR,WEEK,Cases
Guatemala,01/10/14,2014,40,2847
Saint Lucia,01/10/14,2014,40,4090
Nicaragua,01/10/14,2014,40,1
French Guyana,01/10/14,2014,40,2250
Costa Rica,01/10/14,2014,40,15006
Brazil,01/10/14,2014,40,171
Martinique,01/11/14,2014,44,12
Saint Martin,01/11/14,2014,44,74
Antigua and Barbuda,01/11/14,2014,44,137
Sint Maarten,01/11/14,2014,44,895
Anguilla,01/11/14,2014,44,150
Saint Kitts and Nevis,01/11/14,2014,44,503
Bahamas,01/11/14,2014,44,1005
Cayman Islands,01/11/14,2014,44,2008
Dominica,01/11/14,2014,44,61
Paraguay,01/11/14,2014,44,400
Jamaica,01/11/14,2014,44,1390
Grenada,01/11/14,2014,44,3529
Venezuela,01/11/14,2014,44,377
Guyana,01/11/14,2014,44,155
Peru,01/11/14,2014,44,3038
United States Virgin Islands,01/11/14,2014,44,20917
El Salvador,01/11/14,2014,44,543
French Guyana,01/11/14,2014,44,592
Guadeloupe,01/11/14,2014,44,118940
Costa Rica,01/11/14,2014,44,19798
Dominican Republic,01/11/14,2014,44,12610
United States of America,01/12/14,2014,49,9
Saint Barthelemy,01/12/14,2014,49,3
Bonaire Saint Eustatius and Saba,01/12/14,2014,49,13
Aruba,01/12/14,2014,49,35
Chile,01/12/14,2014,49,168
Uruguay,01/12/14,2014,49,84
Turks and Caicos Islands,01/12/14,2014,49,68
Saint Martin,01/12/14,2014,49,57
Barbados,01/12/14,2014,49,350
Trinidad and Tobago,01/12/14,2014,49,374
Antigua and Barbuda,01/12/14,2014,49,107
Anguilla,01/12/14,2014,49,15
Saint Kitts and Nevis,01/12/14,2014,49,178
Bahamas,01/12/14,2014,49,50
Puerto Rico,01/12/14,2014,49,379
Montserrat,01/12/14,2014,49,3455
Suriname,01/12/14,2014,49,500
Jamaica,01/12/14,2014,49,2691
Mexico,01/12/14,2014,49,60
Grenada,01/12/14,2014,49,878
Venezuela,01/12/14,2014,49,102
Guyana,01/12/14,2014,49,21429
Ecuador,01/12/14,2014,49,3
Peru,01/12/14,2014,49,3340
United States Virgin Islands,01/12/14,2014,49,8628
Guatemala,01/12/14,2014,49,244
Saint Lucia,01/12/14,2014,49,3860
French Guyana,01/12/14,2014,49,238
Costa Rica,01/12/14,2014,49,35065
Dominican Republic,01/12/14,2014,49,25381
Brazil,01/12/14,2014,49,1922
Bonaire Saint Eustatius and Saba,01/01/15,2015,1,3
Aruba,01/01/15,2015,1,28
Cuba,01/01/15,2015,1,99
Chile,01/01/15,2015,1,21
Uruguay,01/01/15,2015,1,114
Saint Martin,01/01/15,2015,1,36
Antigua and Barbuda,01/01/15,2015,1,529
Sint Maarten,01/01/15,2015,1,4
Anguilla,01/01/15,2015,1,12
Saint Kitts and Nevis,01/01/15,2015,1,244
Bahamas,01/01/15,2015,1,222
Dominica,01/01/15,2015,1,2
Montserrat,01/01/15,2015,1,1129
Jamaica,01/01/15,2015,1,1266
Mexico,01/01/15,2015,1,46
Grenada,01/01/15,2015,1,2209
Venezuela,01/01/15,2015,1,49
Guyana,01/01/15,2015,1,5484
Peru,01/01/15,2015,1,2254
El Salvador,01/01/15,2015,1,6
Honduras,01/01/15,2015,1,5339
Guadeloupe,01/01/15,2015,1,2272
Costa Rica,01/01/15,2015,1,52778
Dominican Republic,01/01/15,2015,1,14802
Brazil,01/01/15,2015,1,806
Bermuda,01/02/15,2015,5,29
Bonaire Saint Eustatius and Saba,01/02/15,2015,5,4
Aruba,01/02/15,2015,5,8
Cuba,01/02/15,2015,5,127
Chile,01/02/15,2015,5,53
Uruguay,01/02/15,2015,5,12
Saint Martin,01/02/15,2015,5,74
Antigua and Barbuda,01/02/15,2015,5,410
Sint Maarten,01/02/15,2015,5,25
Anguilla,01/02/15,2015,5,14
Saint Kitts and Nevis,01/02/15,2015,5,55
Bahamas,01/02/15,2015,5,1
Puerto Rico,01/02/15,2015,5,297
Dominica,01/02/15,2015,5,8
Paraguay,01/02/15,2015,5,196
Suriname,01/02/15,2015,5,450
Jamaica,01/02/15,2015,5,1556
Mexico,01/02/15,2015,5,12
Grenada,01/02/15,2015,5,2869
Venezuela,01/02/15,2015,5,307
Ecuador,01/02/15,2015,5,63
Peru,01/02/15,2015,5,4352
Nicaragua,01/02/15,2015,5,128
Guadeloupe,01/02/15,2015,5,5517
Costa Rica,01/02/15,2015,5,49843
Brazil,01/02/15,2015,5,1115
Saint Barthelemy,01/03/15,2015,9,20
Martinique,01/03/15,2015,9,320
Saint Martin,01/03/15,2015,9,40
Barbados,01/03/15,2015,9,155
Antigua and Barbuda,01/03/15,2015,9,2
Anguilla,01/03/15,2015,9,3
Puerto Rico,01/03/15,2015,9,598
Paraguay,01/03/15,2015,9,175
Mexico,01/03/15,2015,9,217
Ecuador,01/03/15,2015,9,147
United States Virgin Islands,01/03/15,2015,9,13
El Salvador,01/03/15,2015,9,1320
Nicaragua,01/03/15,2015,9,19052
French Guyana,01/03/15,2015,9,1396
Honduras,01/03/15,2015,9,11265
Guadeloupe,01/03/15,2015,9,150
Costa Rica,01/03/15,2015,9,16
Colombia,01/03/15,2015,9,55733
Dominican Republic,01/03/15,2015,9,39
Brazil,01/03/15,2015,9,1339
Trinidad and Tobago,01/04/15,2015,14,10
Anguilla,01/04/15,2015,14,7
Bahamas,01/04/15,2015,14,3
Cayman Islands,01/04/15,2015,14,6
Puerto Rico,01/04/15,2015,14,133
Montserrat,01/04/15,2015,14,1
Paraguay,01/04/15,2015,14,565
Mexico,01/04/15,2015,14,448
Bolivia,01/04/15,2015,14,575
Ecuador,01/04/15,2015,14,3693
Guatemala,01/04/15,2015,14,4337
El Salvador,01/04/15,2015,14,1474
French Guyana,01/04/15,2015,14,692
Honduras,01/04/15,2015,14,4729
Costa Rica,01/04/15,2015,14,7
Colombia,01/04/15,2015,14,53993
Dominican Republic,01/04/15,2015,14,6
Brazil,01/04/15,2015,14,436
Saint Martin,01/05/15,2015,18,110
Puerto Rico,01/05/15,2015,18,49
Paraguay,01/05/15,2015,18,494
Jamaica,01/05/15,2015,18,50
Mexico,01/05/15,2015,18,260
Venezuela,01/05/15,2015,18,12778
Colombia,01/05/15,2015,18,42722
Dominican Republic,01/05/15,2015,18,14
Brazil,01/05/15,2015,18,160
Aruba,01/06/15,2015,23,18
Barbados,01/06/15,2015,23,237
Trinidad and Tobago,01/06/15,2015,23,61
Panama,01/06/15,2015,23,5
Puerto Rico,01/06/15,2015,23,61
Paraguay,01/06/15,2015,23,1186
Mexico,01/06/15,2015,23,424
Ecuador,01/06/15,2015,23,3848
Peru,01/06/15,2015,23,18
Guatemala,01/06/15,2015,23,2652
El Salvador,01/06/15,2015,23,4583
French Guyana,01/06/15,2015,23,110
Honduras,01/06/15,2015,23,10999
Colombia,01/06/15,2015,23,39826
Panama,01/07/15,2015,27,8
Puerto Rico,01/07/15,2015,27,165
Paraguay,01/07/15,2015,27,146
Mexico,01/07/15,2015,27,1057
Ecuador,01/07/15,2015,27,14041
El Salvador,01/07/15,2015,27,9742
French Guyana,01/07/15,2015,27,550
Honduras,01/07/15,2015,27,11618
Colombia,01/07/15,2015,27,34738
Dominican Republic,01/07/15,2015,27,4
Brazil,01/07/15,2015,27,5276
Panama,01/08/15,2015,31,127
Puerto Rico,01/08/15,2015,31,76
Paraguay,01/08/15,2015,31,518
Mexico,01/08/15,2015,31,1924
Venezuela,01/08/15,2015,31,1880
Ecuador,01/08/15,2015,31,1823
Peru,01/08/15,2015,31,44
El Salvador,01/08/15,2015,31,10349
Nicaragua,01/08/15,2015,31,20953
French Guyana,01/08/15,2015,31,70
Honduras,01/08/15,2015,31,22673
Colombia,01/08/15,2015,31,13473
Dominican Republic,01/08/15,2015,31,4
Brazil,01/08/15,2015,31,400
Puerto Rico,01/09/15,2015,36,64
Paraguay,01/09/15,2015,36,436
Mexico,01/09/15,2015,36,2843
Venezuela,01/09/15,2015,36,360
Ecuador,01/09/15,2015,36,668
Peru,01/09/15,2015,36,90
El Salvador,01/09/15,2015,36,5548
Nicaragua,01/09/15,2015,36,5778
French Guyana,01/09/15,2015,36,310
Colombia,01/09/15,2015,36,13139
Brazil,01/09/15,2015,36,2791
Panama,01/10/15,2015,40,8
Puerto Rico,01/10/15,2015,40,36
Paraguay,01/10/15,2015,40,462
Mexico,01/10/15,2015,40,1587
Venezuela,01/10/15,2015,40,237
Ecuador,01/10/15,2015,40,368
Nicaragua,01/10/15,2015,40,9992
French Guyana,01/10/15,2015,40,130
Colombia,01/10/15,2015,40,7199
Brazil,01/10/15,2015,40,1582
Martinique,01/11/15,2015,44,21
Saint Martin,01/11/15,2015,44,2
Puerto Rico,01/11/15,2015,44,99
Paraguay,01/11/15,2015,44,181
Mexico,01/11/15,2015,44,1760
Venezuela,01/11/15,2015,44,239
Ecuador,01/11/15,2015,44,199
Peru,01/11/15,2015,44,33
French Guyana,01/11/15,2015,44,73
Honduras,01/11/15,2015,44,10168
Guadeloupe,01/11/15,2015,44,7
Colombia,01/11/15,2015,44,11965
Brazil,01/11/15,2015,44,2506
Panama,01/12/15,2015,49,6
Puerto Rico,01/12/15,2015,49,61
Paraguay,01/12/15,2015,49,150
Mexico,01/12/15,2015,49,708
Venezuela,01/12/15,2015,49,345
Ecuador,01/12/15,2015,49,4157
Guatemala,01/12/15,2015,49,21893
Colombia,01/12/15,2015,49,3119
Panama,01/01/16,2016,1,5
Puerto Rico,01/01/16,2016,1,1
Paraguay,01/01/16,2016,1,9
Mexico,01/01/16,2016,1,116
Venezuela,01/01/16,2016,1,1599
Ecuador,01/01/16,2016,1,281
Peru,01/01/16,2016,1,110
Guatemala,01/01/16,2016,1,2982
El Salvador,01/01/16,2016,1,2414
Nicaragua,01/01/16,2016,1,17158
Honduras,01/01/16,2016,1,3366
Costa Rica,01/01/16,2016,1,628
Colombia,01/01/16,2016,1,3750
Brazil,01/01/16,2016,1,2593
Sint Maarten,01/02/16,2016,6,12
Panama,01/02/16,2016,6,1
Puerto Rico,01/02/16,2016,6,13
Paraguay,01/02/16,2016,6,9
Mexico,01/02/16,2016,6,73
Venezuela,01/02/16,2016,6,563
Ecuador,01/02/16,2016,6,242
Guatemala,01/02/16,2016,6,737
El Salvador,01/02/16,2016,6,3236
Nicaragua,01/02/16,2016,6,1778
Honduras,01/02/16,2016,6,3348
Costa Rica,01/02/16,2016,6,962
Colombia,01/02/16,2016,6,4669
Panama,01/03/16,2016,10,1
Puerto Rico,01/03/16,2016,10,10
Argentina,01/03/16,2016,10,51
Paraguay,01/03/16,2016,10,8
Mexico,01/03/16,2016,10,102
Venezuela,01/03/16,2016,10,547
Bolivia,01/03/16,2016,10,5173
Ecuador,01/03/16,2016,10,186
El Salvador,01/03/16,2016,10,685
Nicaragua,01/03/16,2016,10,2147
Honduras,01/03/16,2016,10,3254
Costa Rica,01/03/16,2016,10,205
Colombia,01/03/16,2016,10,2893
Brazil,01/03/16,2016,10,2766
Saint Martin,01/04/16,2016,14,18
Panama,01/04/16,2016,14,3
Puerto Rico,01/04/16,2016,14,16
Argentina,01/04/16,2016,14,48
Paraguay,01/04/16,2016,14,222
Mexico,01/04/16,2016,14,84
Venezuela,01/04/16,2016,14,180
Bolivia,01/04/16,2016,14,1725
Guyana,01/04/16,2016,14,149
Guatemala,01/04/16,2016,14,813
El Salvador,01/04/16,2016,14,562
Haiti,01/04/16,2016,14,3
Nicaragua,01/04/16,2016,14,1137
French Guyana,01/04/16,2016,14,500
Honduras,01/04/16,2016,14,1376
Guadeloupe,01/04/16,2016,14,34
Costa Rica,01/04/16,2016,14,190
Colombia,01/04/16,2016,14,3010
Brazil,01/04/16,2016,14,36251
Barbados,01/05/16,2016,18,86
Bahamas,01/05/16,2016,18,76
Panama,01/05/16,2016,18,1
